id,lable,hand_sphere_radius,palm_position_x,palm_position_y,palm_position_z,palm_direction_x,palm_direction_y,palm_direction_z,palm_normal_direction_x,palm_normal_direction_y,palm_normal_direction_z,wrist_position_x,wrist_position_y,wrist_position_z,thumb_tip_position_x,thumb_tip_position_y,thumb_tip_position_z,thumb_metacarpal_position_x,thumb_metacarpal_position_y,thumb_metacarpal_position_z,thumb_proximal_position_x,thumb_proximal_position_y,thumb_proximal_position_z,thumb_intermediate_position_x,thumb_intermediate_position_y,thumb_intermediate_position_z,thumb_distal_position_x,thumb_distal_position_y,thumb_distal_position_z,thumb_direction_x,thumb_direction_y,thumb_direction_z,index_tip_position_x,index_tip_position_y,index_tip_position_z,index_metacarpal_position_x,index_metacarpal_position_y,index_metacarpal_position_z,index_proximal_position_x,index_proximal_position_y,index_proximal_position_z,index_intermediate_position_x,index_intermediate_position_y,index_intermediate_position_z,index_distal_position_x,index_distal_position_y,index_distal_position_z,index_direction_x,index_direction_y,index_direction_z,middle_tip_position_x,middle_tip_position_y,middle_tip_position_z,middle_metacarpal_position_x,middle_metacarpal_position_y,middle_metacarpal_position_z,middle_proximal_position_x,middle_proximal_position_y,middle_proximal_position_z,middle_intermediate_position_x,middle_intermediate_position_y,middle_intermediate_position_z,middle_distal_position_x,middle_distal_position_y,middle_distal_position_z,middle_direction_x,middle_direction_y,middle_direction_z,ring_tip_position_x,ring_tip_position_y,ring_tip_position_z,ring_metacarpal_position_x,ring_metacarpal_position_y,ring_metacarpal_position_z,ring_proximal_position_x,ring_proximal_position_y,ring_proximal_position_z,ring_intermediate_position_x,ring_intermediate_position_y,ring_intermediate_position_z,ring_distal_position_x,ring_distal_position_y,ring_distal_position_z,ring_direction_x,ring_direction_y,ring_direction_z,pinky_tip_position_x,pinky_tip_position_y,pinky_tip_position_z,pinky_metacarpal_position_x,pinky_metacarpal_position_y,pinky_metacarpal_position_z,pinky_proximal_position_x,pinky_proximal_position_y,pinky_proximal_position_z,pinky_intermediate_position_x,pinky_intermediate_position_y,pinky_intermediate_position_z,pinky_distal_position_x,pinky_distal_position_y,pinky_distal_position_z,pinky_direction_x,pinky_direction_y,pinky_direction_z
114,A,38.3054428101,-2.07430887222,182.888900757,-10.9728908539,-0.137020900846,0.160789310932,-0.977431356907,0.0722936317325,-0.982483565807,-0.171754851937,8.8826084137,178.85319519,38.3999023438,-50.84631490708,-17.901290894,-37.4624881744,-15.89537382128,-17.850219727,54.3574771881,-30.81179189678,-15.733779907,34.530752182,-47.60020208358,-15.080459595,-2.1377773285,-51.13783407208,-17.428237915,-30.5011081695,0.026959285141,-0.2468115910886,-0.012763857841,-15.31417989728,-36.38710022,3.1008615494,-21.34803915028,3.62103271500001,11.126583099383,-30.51394796368,-17.653335571,-27.5035953522,-24.59487104418,-41.076156616,-20.0566768646,-17.66248846058,-39.714614868,-1.8252525329,0.514866694808,-0.353065624833,1.883114755154,-7.18678331375,-39.536560059,7.59875416757,-4.98446035385,7.29344177200002,7.91619491579,-12.30753183368,-16.045639038,-30.0082492828,-11.64575910568,-42.976501465,-19.9849109649,-7.09469270706,-42.420272827,1.93356513979,0.322356760502,-0.388432398438,1.933375537396,8.65670108795,-36.225494385,13.55101227762,12.20490503312,7.94090271000002,8.37681579592,9.16161727905,-13.27293396,-25.4163913727,6.44949007034,-38.265563965,-14.4925975799,7.486058712,-37.83102417,7.59245681765,0.1521565401931,-0.381109386682,1.95274156332,20.42448663712,-29.766143799,7.4474167824,28.72624063492,2.78501892100002,10.568397521991,27.96216821672,-11.728317261,-21.4775867462,20.79720163342,-30.668533325,-15.7986755371,17.51142168042,-30.020065308,1.39535808565,-0.126750186085,-0.392802581191,1.913697719574
115,A,38.3083610535,-2.08023047447,182.888366699,-10.9779129028,-0.136906519532,0.161072537303,-0.977400779724,0.0721848458052,-0.982446014881,-0.172015056014,8.85412788391,178.838424683,38.3965530396,-50.84236550333,-17.900772095,-37.4563026429,-15.92017197613,-17.86239624,54.3528137207,-30.83159661293,-15.745788574,34.5223503112,-47.62245202063,-15.088180542,-2.1494426728,-51.16449379923,-17.431594848,-30.5127601624,0.026407450437,-0.2468536049128,-0.01276665926,-15.30847001073,-36.386825561,3.10569429394,-21.36594605443,3.62130737300001,11.127235412566,-30.52762246133,-17.64263916,-27.5008392334,-24.60804390903,-41.065383911,-20.0504932404,-17.67580819133,-39.704589844,-1.8182258606,0.514720603823,-0.353304103017,1.88310688734,-7.18015027046,-39.536560058,7.60302376744,-5.00159287453,7.29251098700001,7.91941833493,-12.32361531253,-16.035522461,-30.0110015869,-11.66650414463,-42.969421387,-19.9937362671,-7.11849808693,-42.420166015,1.92570018765,0.322075843811,-0.389002159238,1.933308959007,8.66221308708,-36.224807739,13.55531167981,12.18781065937,7.93763732900001,8.38186550137,9.14494490623,-13.266571045,-25.4176559449,6.42939448356,-38.260498047,-14.500907898,7.46544480324,-37.829544067,7.58406639096,0.1519879372788,-0.381566897035,1.952672421932,20.42925238607,-29.765167236,7.45184183118,28.70827841757,2.77905273500002,10.573630332915,27.94642615317,-11.724914551,-21.4803352356,20.77920126917,-30.66607666,-15.8115196228,17.49165511127,-30.022293091,1.38194561001,-0.127013668418,-0.393394112587,1.913548648357
116,A,38.3121452332,-2.08666062355,182.887817383,-10.9833478928,-0.136773601174,0.161278232932,-0.97738546133,0.0720147117972,-0.982428193092,-0.172187954187,8.82934188843,178.830734253,38.3922843933,-50.83791518215,-17.900238037,-37.4497499466,-15.94169211385,-17.865310669,54.3486394883,-30.84588789935,-15.751220703,34.5124750138,-47.63881087305,-15.093475342,-2.1642122268,-51.18400740625,-17.436309815,-30.5274477005,0.025728143751,-0.2469025999307,-0.012734413147,-15.30233740805,-36.386627197,3.11086654667,-21.37883734705,3.62738037100002,11.126439094582,-30.53756117825,-17.628753662,-27.4989748001,-24.62012648585,-41.051818848,-20.0441541671,-17.68939757345,-39.691894531,-1.8105840683,0.514467194676,-0.353481546044,1.883147835731,-7.17284655571,-39.536697388,7.60750436787,-5.01344704628,7.296051025,7.92100524906,-12.33518195155,-16.024078369,-30.011853218,-11.68445658685,-42.959671021,-19.9964933395,-7.14024233818,-42.414733887,1.92410469059,0.321730718016,-0.389367043972,1.933296740055,8.66816401482,-36.224090576,13.55991935734,12.17603135105,7.937789917,8.38536453251,9.13247609138,-13.259521485,-25.4190874099,6.41201806068,-38.25302124,-14.5075368881,7.44781088829,-37.822631836,7.57717442516,0.1517961062487,-0.38182452321,1.952646255493,20.43442368505,-29.76411438,7.45662212376,28.69528222085,2.77563476500001,10.577907562295,27.93522858615,-11.721435547,-21.4844827652,20.76570343975,-30.663085938,-15.8257951736,17.47817730905,-30.023361206,1.36725616459,-0.127218440175,-0.393892094493,1.913440465927
117,A,38.3165512085,-2.09547924995,182.887069702,-10.9907588959,-0.136581495404,0.161542311311,-0.977368712425,0.0718140602112,-0.982403934002,-0.172410130501,8.79632282257,178.821899414,38.3913459778,-50.83163714405,-17.899490356,-37.4409809112,-15.96988177295,-17.868347168,54.3475818634,-30.86757922175,-15.750976562,34.5068855286,-47.66205096245,-15.084457397,-2.1739053726,-51.21357607845,-17.420227051,-30.5370731353,0.025063030421,-0.24684330076,-0.012725889683,-15.29411387445,-36.386566162,3.11776304248,-21.39520144465,3.63587951700001,11.129631042506,-30.55150866505,-17.609451294,-27.4987659454,-24.63882517815,-41.034957886,-20.0450649261,-17.70958018305,-39.679733276,-1.8102321624,0.514139398932,-0.353947818279,1.88314473629,-7.16270136834,-39.537017822,7.61340522769,-5.02845168114,7.30149841300002,7.92765998843,-12.34897494315,-16.008224487,-30.0100116729,-11.70634436605,-42.946273804,-19.9987888336,-7.1669023037,-42.407455444,1.92315864566,0.321272552013,-0.389872357249,1.933273851871,8.67625069618,-36.223083496,13.56610393527,12.16110157965,7.939163208,8.39489173892,9.11774420738,-13.24937439,-25.4151172638,6.39139866828,-38.242630005,-14.5095176697,7.4268772602,-37.813491821,7.57498097422,0.151533947326,-0.382165670395,1.952613174915,20.44149327275,-29.762680054,7.46312046054,28.67880749705,2.77264404300001,10.588820457484,27.92171025275,-11.715698242,-21.4832477569,20.74936604495,-30.657897949,-15.8364124298,17.46201062205,-30.023086548,1.35622596743,-0.1274869591,-0.394501820207,1.913316190243
118,A,38.3196105957,-2.10135483742,182.886581421,-10.9956817627,-0.136446803808,0.161694675684,-0.977362334728,0.0716703236103,-0.982392907143,-0.172532632947,8.77634811401,178.817657471,38.3904762268,-50.82738280298,-17.899002075,-37.4352226257,-15.98681616778,-17.868301392,54.3468360901,-30.87866377828,-15.752426148,34.5015869141,-47.67226576808,-15.085861206,-2.1833267212,-51.22850203518,-17.420166016,-30.5461006165,0.024635218084,-0.2469050735235,-0.012707054615,-15.28872466088,-36.386627197,3.12227010727,-21.40380072598,3.64256286600002,11.131141662602,-30.55838179588,-17.596542359,-27.4981918335,-24.64880537988,-41.023269653,-20.0440750122,-17.72033095358,-39.67036438,-1.808508873,0.513923615217,-0.354188323021,1.883153378963,-7.15590071678,-39.537292481,7.61724686623,-5.03609061241,7.30589294400002,7.93146419526,-12.35607695578,-15.997665405,-30.0097579956,-11.71936011318,-42.937408447,-20.0016365051,-7.18312048912,-42.40272522,1.92114925385,0.320955321193,-0.390195727348,1.933261871338,8.68160319329,-36.222396851,13.57016587258,12.15351605412,7.94062805200002,8.40067863465,9.11018967629,-13.24295044,-25.411907196,6.37996649742,-38.235366821,-14.5089569092,7.41578793526,-37.805908203,7.57537460328,0.1513750925658,-0.382314935327,1.952607870102,20.44619202612,-29.761749268,7.46742868424,28.67012429242,2.77108764600001,10.595744133,27.91481041912,-11.712295532,-21.4819145203,20.74061036112,-30.654525757,-15.8418750763,17.45409989362,-30.022293091,1.35063457489,-0.127634227276,-0.394841358066,1.913259685039
119,A,38.3226547241,-2.10939908028,182.885955811,-11.0023736954,-0.136132717133,0.161982476711,-0.977358460426,0.0714080780745,-0.982372105122,-0.172759592533,8.7397518158,178.811752319,38.3975334167,-50.82142138482,-17.898345948,-37.4275045395,-16.02103877072,-17.866394043,54.3498926163,-30.90386843682,-15.746994019,34.4982557297,-47.69058871272,-15.073013306,-2.1931371689,-51.24603152272,-17.402069092,-30.5565328598,0.024195335806,-0.2469641119239,-0.01271635294,-15.28151392932,-36.386917115,3.12826442721,-21.41962122912,3.65699767999999,11.138136863735,-30.56975436212,-17.56994629,-27.4961652755,-24.66740298272,-40.999862671,-20.0438966751,-17.74098849292,-39.65272522,-1.8068399429,0.513423800469,-0.354741483926,1.883170485496,-7.14655852317,-39.537750245,7.62235498431,-5.04989981651,7.315994262,7.94378471377,-12.36665415762,-15.975891114,-30.0045843124,-11.74153780932,-42.918533326,-20.002245903,-7.21226763725,-42.391143799,1.9222621918,0.320257380605,-0.390786275267,1.933259546756,8.68884158135,-36.221496582,13.57557916644,12.13977932928,7.945220947,8.41778659823,9.09869027138,-13.228912354,-25.4007787704,6.35914444924,-38.221618653,-14.5043478012,7.39190888405,-37.795013428,7.58001661303,0.1508506331597,-0.382737755775,1.952576637268,20.45255398748,-29.76046753,7.47324299815,28.65416836738,2.769927978,10.616004943874,27.90381741528,-11.704254151,-21.4710149765,20.72565197948,-30.646499634,-15.8428888321,17.44003987308,-30.01916504,1.3493690491,-0.128003925085,-0.395462930202,1.913156926632
120,A,38.3246383667,-2.11783123016,182.885314941,-11.009344101,-0.13581225276,0.162212818861,-0.977364838123,0.0711454823613,-0.982361495495,-0.172928318381,8.70934295654,178.808944702,38.4079551697,-50.81506824494,-17.897628784,-37.4195384979,-16.04873180394,-17.86100769,54.3572368622,-30.92419528964,-15.734436035,34.5008468628,-47.70238208774,-15.04901123,-2.1957969665,-51.25500202184,-17.370986938,-30.560136795,0.023943819106,-0.2469428256154,-0.0127393603329999,-15.27412319184,-36.387374878,3.13437700276,-21.42861270904,3.67236328200002,11.148124694872,-30.57457447054,-17.544509887,-27.491323471,-24.68024158474,-40.97756958,-20.0409030914,-17.75636577604,-39.63583374,-1.8023233413,0.512892901897,-0.355233192444,1.883208811283,-7.13673400879,-39.538314819,7.62756967549,-5.0568561554,7.32681274500001,7.95898342137,-12.37033748624,-15.955535888,-29.9956073761,-11.75678062444,-42.900482177,-19.9979496002,-7.23412418366,-42.379013061,1.92812061315,0.319568321109,-0.391266077757,1.933277130127,8.69632101059,-36.22050476,13.58108472829,12.13288784026,7.95050048900001,8.43784141545,9.09422111511,-13.216217041,-25.3851833343,6.34547519683,-38.207305908,-14.4932460784,7.37541866302,-37.779907226,7.59097361569,0.1503296811134,-0.382953494787,1.952589333057,20.45904827116,-29.759078979,7.47920846944,28.64503765106,2.76959228600001,10.639616966295,27.89950847626,-11.697509765,-21.454465866,20.71671009066,-30.63986206,-15.8358707428,17.43109416966,-30.017440795,1.35619258885,-0.128415346146,-0.395995140076,1.913062214851
121,A,38.3256454468,-2.1270365715,182.884658813,-11.0168991089,-0.135461896658,0.162454336882,-0.977373361588,0.0708607882261,-0.982351303101,-0.173102915287,8.67808628082,178.806518555,38.4219245911,-50.8080677986,-17.896835327,-37.410949707,-16.0769963264,-17.854553222,54.3679046631,-30.9450268745,-15.719848632,34.5068225861,-47.7118191719,-15.022445678,-2.1952905655,-51.2554860115,-17.33857727,-30.5612716675,0.023826256394,-0.2469590306286,-0.0127763748159999,-15.2662587166,-36.388092041,3.14085388185,-21.4364628792,3.68928527900002,11.16147232057,-30.5777478218,-17.516983032,-27.4834823608,-24.6923832893,-40.953338623,-20.0348091125,-17.7718091011,-39.61730957,-1.7943973541,0.512287318707,-0.355750367046,1.883264780045,-7.12596654892,-39.539016723,7.63309216501,-5.06249427796,7.33876037600001,7.97799587251,-12.3723263741,-15.933609008,-29.9829101562,-11.7711501122,-42.880889892,-19.9898605347,-7.25542211533,-42.365615844,1.93786239625,0.3188290447,-0.391764312983,1.933298766613,8.70433712005,-36.219406127,13.5868766308,12.1273188591,7.95645141600002,8.46216106416,9.09142112732,-13.202651977,-25.3642272949,6.3326010704,-38.191879272,-14.4756126404,7.35919523239,-37.763427734,7.60859322549,0.1497507318855,-0.383155956865,1.952610075474,20.465816021,-29.757492065,7.48550605775,28.6370253563,2.76942443900001,10.667880058302,27.8969550133,-11.690170288,-21.4342460632,20.7092204094,-30.632186889,-15.8262825012,17.4236330986,-30.014083862,1.36543083192,-0.128870546818,-0.396523058415,1.912969529629
122,A,38.3261566162,-2.13637757301,182.884048462,-11.0244894028,-0.135103940964,0.162698224187,-0.977382302284,0.0704658925533,-0.982351005077,-0.173265859485,8.64417171478,178.809646606,38.4417915344,-50.80108427999,-17.895996094,-37.4022684097,-16.10924315449,-17.839553833,54.3849744797,-30.97052931789,-15.694488525,34.5199575424,-47.72655272489,-14.982711792,-2.1868829727,-51.26290297509,-17.292053223,-30.5543413162,0.023704938591,-0.2469662800432,-0.0128142237669999,-15.25851798059,-36.389038086,3.14719581607,-21.44637656209,3.71478271499998,11.181008338957,-30.58611083029,-17.480209351,-27.470005989,-24.71257185939,-40.920806885,-20.0238924026,-17.79489111899,-39.591659546,-1.7817926407,0.51166433096,-0.356340616942,1.883309960365,-7.11498904229,-39.539871216,7.6384725571,-5.06983017922,7.357421875,8.0029754639,-12.37912344929,-15.904525757,-29.9645700454,-11.79334616659,-42.854248047,-19.9765672683,-7.28424811364,-42.345718384,1.95269775394,0.318066477776,-0.392294228077,1.933316588402,8.71228289604,-36.218261719,13.59249758723,12.12011933326,7.96723938,8.49225521091,9.08436083793,-13.184310913,-25.3377313614,6.31213974952,-38.172821045,-14.4530038833,7.33444523811,-37.746246338,7.63140511516,0.1490961275997,-0.383472084999,1.952606976032,20.47212624551,-29.755722046,7.49155116084,28.62683129311,2.77232360799999,10.701806068449,27.89038491251,-11.68019104,-21.4078531265,20.69474053381,-30.620925903,-15.810139656,17.40746235851,-30.006317139,1.38092041019,-0.129456371069,-0.396991446614,1.912857890129
123,A,38.3269081116,-2.145611763,182.883483887,-11.0319442749,-0.134770959616,0.162894114852,-0.977395653725,0.0701030194759,-0.982355594635,-0.173387095332,8.61820793152,178.813415527,38.4567527771,-50.7943563461,-17.895111084,-37.3936691284,-16.1330480576,-17.824691773,54.3981323242,-30.987906456,-15.670761109,34.5292682648,-47.7338666916,-14.946868897,-2.182103157,-51.2641553879,-17.250610352,-30.5507736206,0.023585744202,-0.2469721138478,-0.012841045856,-15.251124382,-36.390213013,3.15324449539,-21.4494695663,3.73803710899998,11.195800781248,-30.5878744125,-17.447662354,-27.4606781006,-24.725317955,-40.892059326,-20.0168113709,-17.8100614548,-39.568939209,-1.773311615,0.511098831892,-0.356845825911,1.88335376978,-7.10406303406,-39.540847779,7.64357066154,-5.07054328919,7.37428283699998,8.02272891998,-12.3791723251,-15.879150391,-29.9502792358,-11.8077030182,-42.830963135,-19.9661483765,-7.30499172211,-42.328201294,1.964594841,0.317348346114,-0.39273224771,1.93334543705,8.71995687485,-36.217102051,13.59782791137,12.11952590942,7.97686767499999,8.51675605774,9.08396339416,-13.168762207,-25.3153076172,6.29994487762,-38.155303955,-14.4325771332,7.31924057007,-37.727874756,7.65188241005,0.1485320841896,-0.383626535535,1.952632963658,20.4777173996,-29.753768921,7.49716544151,28.6234693527,2.77474975599998,10.730041503904,27.890370369,-11.672271729,-21.3856506348,20.6872720718,-30.611541748,-15.7963371277,17.3982400894,-29.999511719,1.39410305023,-0.130008012056,-0.397350862622,1.912768363953
