index_x,index_y,index_z,middle_x,middle_y,middle_z,ring_x,ring_y,ring_z,lable
3.551422249,-0.086809145,1.371528256,2.575743794,-2.61073689,-0.032139653,1.082573755,-3.244704584,-0.156286087,X
3.555035796,-0.086686977,1.371231738,2.578695252,-2.606349365,-0.03210937,1.083811263,-3.239599461,-0.156244151,X
3.55630341,-0.086510905,1.37104966,2.57997361,-2.600708422,-0.032078679,1.084311434,-3.23299845,-0.156215127,X
3.555341514,-0.086425471,1.371022391,2.579656964,-2.598067777,-0.03204877,1.084113428,-3.230171892,-0.15620466,X
3.554539586,-0.086379228,1.371076133,2.579396038,-2.596979357,-0.032023363,1.083950129,-3.229191801,-0.15620404,X
3.553727957,-0.086326519,1.371131466,2.579075135,-2.595958909,-0.032002269,1.083770683,-3.228229239,-0.15620425,X
3.552914162,-0.086270809,1.371187321,2.578718092,-2.594984136,-0.031984063,1.083580881,-3.227284563,-0.156205151,X
3.55212165,-0.086212528,1.371242794,2.578336764,-2.594079501,-0.031968891,1.083389049,-3.226375456,-0.156206743,X
3.550929106,-0.086150581,1.371309768,2.577646076,-2.593742642,-0.031955916,1.083072016,-3.226138643,-0.156209411,X
3.549774376,-0.086070547,1.371379089,2.576967548,-2.593434997,-0.031944948,1.082764586,-3.225913842,-0.156212524,X
3.548635873,-0.085978634,1.371451209,2.576297328,-2.59313537,-0.031935463,1.082466694,-3.225683346,-0.156216193,X
3.546624737,-0.085889835,1.37155094,2.574994144,-2.593187968,-0.031927302,1.081911284,-3.225879026,-0.156222739,X
3.543686555,-0.085821626,1.371700577,2.573036615,-2.594247707,-0.031918688,1.081086699,-3.227336662,-0.156233005,X
3.540814166,-0.085732445,1.371852085,2.571164362,-2.59524177,-0.031906703,1.080301345,-3.228739884,-0.156240573,X
3.536651443,-0.085630796,1.372042207,2.568392785,-2.596423679,-0.031891985,1.079144416,-3.230403706,-0.156249165,X
3.53258283,-0.085502841,1.372235313,2.565735149,-2.597526496,-0.031873165,1.078045866,-3.231992757,-0.156253781,X
3.528712214,-0.085361415,1.3724238,2.563257698,-2.598533765,-0.03185036,1.077036297,-3.233487403,-0.156253863,X
3.525003699,-0.085229644,1.372603311,2.560928556,-2.599445947,-0.031823428,1.076105163,-3.234882031,-0.156249092,X
3.521895247,-0.085128188,1.372783369,2.559050021,-2.600445871,-0.031793589,1.075380072,-3.236393432,-0.156241374,X
3.519233521,-0.085044828,1.372929206,2.557523291,-2.601447876,-0.031759011,1.074822677,-3.237925765,-0.156225621,X
3.518921206,-0.084947246,1.37295613,2.557711571,-2.601132985,-0.031719734,1.075000433,-3.237821992,-0.156194061,X
3.518615374,-0.084866303,1.372977577,2.557930504,-2.60077811,-0.031676708,1.075211616,-3.237679919,-0.156157912,X
3.518325438,-0.08480866,1.372993738,2.558173557,-2.600396565,-0.031631257,1.075452435,-3.237507866,-0.156118092,X
3.518043722,-0.084764331,1.373005918,2.558439606,-2.599988346,-0.031583254,1.075724532,-3.237304164,-0.15607422,X
3.515954244,-0.084475829,1.371911447,2.557394992,-2.591769047,-0.031508294,1.0754544,-3.227372101,-0.155903015,X
3.517500414,-0.0839562,1.369405345,2.558996285,-2.576141005,-0.031399713,1.076297599,-3.208217053,-0.155571232,X
3.520297662,-0.08346503,1.366809291,2.561500692,-2.561127549,-0.031288244,1.077514573,-3.189827966,-0.155230304,X
3.53020113,-0.083040739,1.364034039,2.569179559,-2.548095986,-0.031169813,1.080904052,-3.173920286,-0.154869309,X
3.540684576,-0.08272803,1.361754187,2.57728602,-2.538270785,-0.031059694,1.084470232,-3.162017873,-0.154564627,X
3.549796504,-0.082503136,1.359944373,2.584384518,-2.530892426,-0.030959158,1.087607458,-3.153161457,-0.154314222,X
3.55922588,-0.082337089,1.35842064,2.591718637,-2.525105023,-0.03086222,1.090847085,-3.146294815,-0.154095268,X
3.577883794,-0.08188759,1.356320736,2.605761521,-2.510376658,-0.030749557,1.096924862,-3.128268925,-0.153806822,X
3.594044553,-0.081508988,1.354520288,2.61797159,-2.497687381,-0.030641981,1.102247916,-3.112750974,-0.153548158,X
3.607358755,-0.081207708,1.353048588,2.628075378,-2.487265402,-0.030542821,1.106697643,-3.100001118,-0.153324522,X
3.618633369,-0.080845406,1.351751365,2.636663097,-2.474778108,-0.030448541,1.110527355,-3.084612048,-0.153116826,X
3.628007252,-0.080557854,1.350676667,2.643815874,-2.464462423,-0.030365296,1.113753855,-3.071863138,-0.152934997,X
3.636048358,-0.080260998,1.349683154,2.649968055,-2.453772363,-0.03028735,1.116570446,-3.058585785,-0.152760403,X
3.6415897,-0.079893594,1.348690295,2.654258984,-2.440762083,-0.03021542,1.118602805,-3.042349076,-0.152586791,X
3.646479575,-0.079587302,1.347809637,2.658050986,-2.429341381,-0.030150547,1.120432182,-3.02803906,-0.152424715,X
3.652020702,-0.07874057,1.346222522,2.662295948,-2.401434676,-0.030072199,1.122443027,-2.99315675,-0.152181133,X
3.642861489,-0.077987752,1.345764789,2.655801984,-2.37654993,-0.03002062,1.119904386,-2.962039792,-0.152065173,X
3.635222803,-0.077379096,1.345385975,2.650400321,-2.356108247,-0.029971887,1.117805874,-2.93646812,-0.151959019,X
3.628664931,-0.076875564,1.345061124,2.645778905,-2.338770664,-0.029924779,1.11602172,-2.91476856,-0.151859454,X
3.623044384,-0.076471221,1.344778557,2.64184097,-2.324079301,-0.029879815,1.114511765,-2.896371571,-0.151766467,X
3.618171284,-0.076155713,1.344524998,2.638458905,-2.311498156,-0.029837177,1.113223172,-2.880607724,-0.151679796,X
3.613786026,-0.075923015,1.344283104,2.635460692,-2.300343169,-0.02979534,1.112089531,-2.866625366,-0.151596209,X
3.610388535,-0.07572331,1.344016841,2.633208015,-2.289079617,-0.029754616,1.111259744,-2.852512952,-0.151513714,X
3.607239629,-0.075604511,1.343754093,2.631171164,-2.278848492,-0.029713938,1.110517157,-2.839692185,-0.151433057,X
3.604420822,-0.075567074,1.343503349,2.629397629,-2.269859268,-0.029674446,1.109878845,-2.828424334,-0.151356614,X
3.601851789,-0.075578402,1.343263726,2.627820348,-2.261782541,-0.029635683,1.109318049,-2.818299475,-0.151283245,X
3.599504254,-0.075620592,1.343038281,2.626405056,-2.25442949,-0.029597028,1.108823635,-2.809077138,-0.151211299,X
3.597443962,-0.075659744,1.34284022,2.625168262,-2.247908057,-0.029560138,1.10839847,-2.800895029,-0.151143574,X
3.595556262,-0.075682175,1.342661982,2.624028993,-2.241788532,-0.029522765,1.108014479,-2.793215447,-0.151075989,X
3.59392228,-0.075689762,1.34251091,2.623032508,-2.23634426,-0.02948837,1.107686071,-2.786372161,-0.151012315,X
3.592422002,-0.07567974,1.342375241,2.622104329,-2.231183382,-0.02945614,1.107388735,-2.779865803,-0.150948337,X
3.591129396,-0.075659544,1.342259442,2.621293996,-2.226610587,-0.029429263,1.107136891,-2.774078243,-0.150888681,X
3.589935399,-0.075634912,1.342152603,2.620537031,-2.222283684,-0.029406777,1.106908655,-2.768571404,-0.150829668,X
3.588865469,-0.07561578,1.342055433,2.619854939,-2.218322088,-0.029388982,1.106711327,-2.763501646,-0.150772754,X
3.587894855,-0.075599955,1.341965958,2.619234292,-2.214656181,-0.029375413,1.106539266,-2.758782982,-0.150717387,X
3.587004482,-0.07558811,1.341882035,2.618663588,-2.211213199,-0.02936518,1.106390753,-2.754320865,-0.15066134,X
3.586203391,-0.075578993,1.341804954,2.618149543,-2.208041062,-0.029357756,1.106266836,-2.750175753,-0.15060487,X
3.585469334,-0.075569802,1.341732898,2.617677099,-2.205047726,-0.029352435,1.106163397,-2.746235126,-0.150546211,X
3.584805938,-0.07556107,1.341666087,2.617249262,-2.202247398,-0.029348741,1.106080745,-2.742518117,-0.15048534,X
3.584203629,-0.075552047,1.341603922,2.616860254,-2.199615463,-0.029346139,1.106015979,-2.738995846,-0.150422471,X
3.583659569,-0.075541104,1.341546204,2.616507357,-2.197140305,-0.029344123,1.105967088,-2.735660545,-0.150357968,X
3.58316382,-0.075529469,1.341491775,2.616185811,-2.194777237,-0.029342402,1.105933217,-2.732453038,-0.150291179,X
3.583972131,-0.075500562,1.341410217,2.616810942,-2.19215851,-0.029339976,1.106296109,-2.728930297,-0.15022108,X
3.584756717,-0.075468005,1.34133149,2.617415422,-2.189598769,-0.02933738,1.106651641,-2.725465399,-0.150146625,X
3.585474931,-0.075431938,1.341259137,2.617966236,-2.187223752,-0.029334689,1.10698107,-2.72222613,-0.150071295,X
3.585883021,-0.075391177,1.341220567,2.618286966,-2.184874268,-0.029332466,1.107212577,-2.719010448,-0.149996459,X
3.586246265,-0.075348216,1.341185749,2.618570628,-2.182703349,-0.029330095,1.107421544,-2.716029851,-0.149924044,X
3.587850434,-0.075284497,1.341131114,2.619757324,-2.180133429,-0.029327108,1.108010893,-2.712547042,-0.149847662,X
3.589328635,-0.075221332,1.341081028,2.620848555,-2.177740615,-0.029324268,1.108554013,-2.709295729,-0.149773624,X
3.591594463,-0.075121074,1.34103559,2.622512233,-2.174433159,-0.029321459,1.109331659,-2.704932041,-0.149705077,X
3.593692901,-0.075026289,1.340993984,2.624051628,-2.171364771,-0.02931866,1.110042271,-2.70092128,-0.149649133,X
3.595732833,-0.074930201,1.340953898,2.625547423,-2.168377835,-0.029315513,1.110725431,-2.697043737,-0.149600807,X
3.597624137,-0.074840279,1.340916983,2.626933981,-2.165608822,-0.029312454,1.111357315,-2.693453339,-0.149556748,X
3.595312332,-0.074733537,1.340991983,2.625250511,-2.162354947,-0.029312027,1.110685162,-2.689272482,-0.149528529,X
3.593098454,-0.074630182,1.341064179,2.623638189,-2.159239755,-0.029311959,1.11003758,-2.685283939,-0.149505068,X
3.591007839,-0.074535066,1.34113265,2.622116823,-2.156283024,-0.02931158,1.109424969,-2.68151081,-0.149485206,X
3.578134241,-0.074365108,1.341035574,2.612727064,-2.15099628,-0.029304992,1.105478977,-2.674865357,-0.149450969,X
3.567631482,-0.074195405,1.340899717,2.605078138,-2.145504022,-0.029293722,1.102267431,-2.667995987,-0.149415379,X
3.5583377,-0.07406,1.340777185,2.598326093,-2.140591742,-0.029277852,1.099436799,-2.661868572,-0.14938097,X
3.542183792,-0.073934782,1.34099764,2.586579437,-2.135571825,-0.029265547,1.094494635,-2.655624846,-0.149385035,X
3.532945058,-0.073888666,1.341254405,2.579902957,-2.132271054,-0.029248768,1.091704357,-2.651540753,-0.149392266,X
3.52461916,-0.073819339,1.341478707,2.573910583,-2.127862,-0.029226894,1.089209404,-2.646100234,-0.149396428,X
3.501387125,-0.073773493,1.342033125,2.557054049,-2.123611069,-0.029206737,1.082125819,-2.640882031,-0.149436909,X
3.496484642,-0.073793529,1.342176095,2.553603495,-2.120816302,-0.029172033,1.080725079,-2.637504707,-0.149431731,X
3.484080781,-0.073821663,1.342291859,2.544697322,-2.117811918,-0.029130037,1.07702633,-2.633900032,-0.149423012,X
3.461176183,-0.07388881,1.342617353,2.52814245,-2.115561091,-0.029086191,1.070101152,-2.631262378,-0.149436321,X
